CollectionID,Title,Identifier,FeaturedText,Description,Strengths,PhysicalCharacteristics,CollectionType,AccessControl,AccrualPolicy,AccrualMethod,AccrualPeriodicity,AccrualGenStatement,CollectionNotes,LegalStatus,CustodialHistory,CollectionTemporalStart,CollectionTemporalEnd,AccumulationDateStart,AccumulationDateEnd,ContentsDateStart,ContentsDateEnd,DescriptionOrCatalogue,PublicationsNote,LocationID,OwnerID,OldCollectionID,ModerationFlag,LastUpdate,URLToCollection,oaiSet,InProgress,NorthernBridgeEntry,name_ids,area_ids,collector_ids,media_ids,subject_ids,asscociated_ids,language_ids
348,Dublin City Libraries: Music Library Collection,,,"Music in a broad range of formats and genres, both reference and lending, including literature, vocal scores, libretti, self-tutor books, songbooks, CDs, DVDs, BLU-RAY, and reference periodicals.","Many difficult to obtain opera and musical vocal scores, miniature scores and sheet music.  ","Sheet music: 13,669<br>CDs: 9,696<br>DVDs: 514<br>Reference works: 941<br>Music literature: 3,928<br>",Collection. Library.,"Public Library open to all, with borrowing allowed to Dublin City Library Card holders. Membership is free.",Active,Purchase,Regular,Collection development over time in line with user needs.,,,,,,,,0,0,http://libcat.dublincity.ie,,67,26,770,-1,8/30/2010,http://www.rascal.ac.uk/index.php?CollectionID=348,rascal,0,,1265,,433,,,,"74,183,177,46,55"
349,Dublin City Public Libraries: Dublin and Irish Collections,AA and GA,,"Dublin City Library and Archive at Pearse Street houses the Dublin and Irish Collections (Special Collections and Early Printed Books) of Dublin City Public Libraries and Dublin City Archives. The Special Collections are made up of approximately twelve major collections. The best known of these are the Gilbert Library, the Dix Collection, the Yeats Collection and the Swift Collection.  The emphasis of the collections is on all aspects of Dublin: art, architecture, history, archaeology, biography, literature, music, education, sport, theatre, etc. The library also has an excellent general collection of Irish history, literature, biography, and family history. History of the Irish book, in print and in manuscript, is another important strand of the collection, therefore Irish printings and bookbindings, and books and periodicals about the topic, are important elements.","The collection is strong on materials relating to Dublin, in particular books and periodicals printed in the 17th and 18th centuries. Music materials form a small, but significant, segment of the holdings. The Dublin and Irish Collections hold the older printed works. John Gilbert and E. R. McClintock Dix were both collectors of early printed music and ballad sheets, and the modern research collection reflects this interest also.","The early printed collections comprise nearly 10,000 items within the research collection of approximately 200,000 items.",Collection. Library. Special.,"The collection is available for reference only in the Research Reading Room, access with a research card for which there is no charge. ",Active,Donation; Purchase,Regular,,,,,,,,,0,0,Details of the Early Printed Book Collection can be found on the Dublin City Public Libraries online catalogue: http://www.dublincitypubliclibraries.ie ,,67,26,771,-1,8/30/2010,http://www.rascal.ac.uk/index.php?CollectionID=349,rascal,0,,6,,433,,,,"181,183,177,46"
350,RTE Sound Library,,,The RTÉ Sound Library collection consists of commercially released sound recordings from the 1930s to date. Popular music makes up the largest part of the collection but there are also significant quantities of classical and traditional music.,The collection is strong in commercially released popular music. ,"Over 250,000 single and multi-track recordings, approximately half of which are in digital format.",Collection.,Access to the RTÉ Sound Library is granted through the Music PAL scheme by prior appointment only. Access will be granted to those with a research or scholarly interest in the collection. To request access please e-mail sarchives@rte.ie detailing the material you wish to consult and your reason for doing so.,Active,Donation;Purchase,Regular,,,,,,,,,0,0,An electronic catalogue and a card catalogue can be accessed in the Sound Library.,,68,32,772,-1,8/30/2010,http://www.rascal.ac.uk/index.php?CollectionID=350,rascal,0,,1554,,435,,,,"181,177"
351,Dublin Institute of Technology: Music & Drama Library,CM,,"The DIT Music & Drama library in Rathmines caters to the students and staff of the Dublin Institute of Technology. It is a performance-based library with a stock of over 18,000 scores and 8,500 books. The stock is mostly classical with a growing selection of traditional Irish music. Multiple copies of vocal music are held in Rathmines for the DIT choirs and performance groups. Full orchestral scores are held in Chatham Row, the other music building in DIT. All material in Rathmines is on open access. Material is chosen jointly by academic and library staff. The library added approximately 1,000 items to stock for 2007.<br><br>A cataloguing programme has been underway for some years to fully catalogue material so that each individual piece or song within a book is retrievable. To date the main scores are completed but work continues on miniature scores, CDs and vinyl.<br><br>The library subscribes to an extensive number of databases dedicated to music including JSTOR music, IIMP, RILM, Oxford Music Online, IPA Source and the streaming database Classical Music Library. <br><br>In addition to print journals, the library has full text access to over 80 electronic music-related journals.<br><br>The audio-visual collection comprises CDs (4,000), DVDs (150), videos (300) and vinyl records (several hundred uncatalogued).  A full inter-library loan service is available through the British Library and International Federation of Library Associations (IFLA).<br><br>The library building also contains a computer room, a listening room and a reference room for silent study. All PCs are loaded with Sibelius software and full word processing facilities. The library has wireless internet access.<br><br>The listening room includes keyboards, DVD players, record players and CD players with a multi-point headphones distributor for group listening. Academic staff and postgraduates only may borrow the audiovisual material.<br><br>There is reciprocal visiting access to other third level institutions in Ireland for all students. Staff and postgraduates may be issued with a membership card to the Academic Libraries Co-operating in Ireland (ALCID) scheme and Sconul scheme.<br>",Performance based material/ Anne Leahy library on J S Bach/ Grey box collection 18th/19th century archival collection./Digitised Irish sheet music 1900-1950.,"Over 18,000 scores and 8,500 books. The audio-visual collection comprises CDs (4,000), DVDs (150), videos (300) and vinyl records (several hundred uncatalogued). Digitised Irish sheet music 1900-1950 available to staff and students of DIT.",Collection. Library.,"Reading, listening and viewing facilities are available. Access to online resources (E journals / Databases) and other computing facilities is not available to visitors due to licensing restrictions. All materials are for reference only.",Active,Donation;Purchase,Regular,,,,,,,,,0,0,http://www.dit.ie/library/sites/rathmines/,,69,27,773,-1,8/30/2010,http://www.rascal.ac.uk/index.php?CollectionID=351,rascal,0,,555,,436,,,,177
352,University College Cork Music Collections,,,"The UCC open access music collections are held on Q+3 (the Arts & Humanities floor of the Boole Library). These materials support the academic needs of students and staff at UCC. They include books and periodicals on music, reference works (including online databases), music scores, DVDs, CDs and cassettes. The vinyl record collection is held off-site in the Library repository in Pouladuff. The Special Collections and Archives services are in Q-1, Boole Library.","Special Collections holds unique manuscript and other material relevant for researchers in the field of music, such as the Sean O’Riada Collection, the Arnold Bax Collection, the Dr Richard Henebry wax cylinders and other manuscript music scores.  ","Books, periodicals, printed music, electronic resources, vinyl records, CDs, DVDs, cassettes, special collections.",Collection. Library. Text. Special. Sound.,"Borrowing of certain categories available to registered students, staff of UCC, and external borrowers. Also through Inter-Library Loan. Material held in Special Collections is reference only. See: http://booleweb.ucc.ie/index.php?pageID=38 . Archives service by appointment only, see: http://booleweb.ucc.ie/index.php?pageID=238. For further details on access see Library website: http://booleweb.ucc.ie/.",Active,Donation;Purchase,Regular,See UCC Library Collection Development Policy: http://booleweb.ucc.ie/documents/LibCDPJan08.pdf,,,,,,,,0,0,UCC Library catalogue: http://library.ucc.ie/screens/opacmenu.html. Vinyl record collection card catalogue available from Q+3 Information desk.,,70,28,774,-1,8/30/2010,http://www.rascal.ac.uk/index.php?CollectionID=352,rascal,0,,1337,,437,,,,"74,183,177,46,55"
353,Cork School of Music,,,"Cork School of Music Library holds an extensive collection of books, journals, music scores, music CDs, records, and other related media, comprising about 24,000 separate items which are available on the CIT online catalogue http://library.cit.ie .<br><br>This collection includes books on a wide range of music-related areas associated with music theory and performance. There are about 10,000 sheet music scores for the various instruments and scores for orchestra and opera; over 3,000 textbooks on the analysis and history of music; 5000 CDs, about three quarters of which are classical, the balance being jazz and modern.<br><br>CIT CSM Library currently subscribes to many music-related periodicals, in print and electronic formats.<br><br>The library also stocks a large quantity of uncatalogued material not yet available to clients. This includes upward of 2,900 vinyl LPs, 900 of the older 78s and a large collection of older sheet music, much of which comprises editions no longer available on the market.<br><br>This Library primarily caters for the current students of the B. Mus. Degree course in the Cork School of Music, for post-graduate students, and for many of the 2,500 part-time pupils. Graduates may also avail of the facilities.","A wide range of music related materials associated with theory and performance, including books, journals, sheet music, scores, CDs, records and related media, as well as donated collections and materials no longer available on the market.","About 10,000 sheet music scores for the various instruments and scores for orchestra and opera; over 3,000 textbooks on the analysis and history of music; 5000 CDs, many vinyl records including 78s. Also a large quantity of uncatalogued material not yet available to clients including upward of 2,900 vinyl LPs, 900 of the older 78s and a large collection of older sheet music.",Collection. Library.,Reading access to reading material while in the library. Listening access to music in the library. No borrowing facility. No access to online resources (journals etc.),Active,Donation;Purchase,Regular,,,,,,,,,0,0,http://library.cit.ie/search,,71,15,775,-1,8/30/2010,http://www.rascal.ac.uk/index.php?CollectionID=353,rascal,0,,647,,438,,,,177
354,Dundalk Institute of Technology,,,"Dundalk Institute of Technology Library has a relatively small collection of over a thousand books and CDs, with several periodicals with backfiles as well as Grove Dictionary of Music and Musicians. All CDs, books and journals are in the open access area and there are two listening posts for the CD collection.","The collection reflects the Institute’s Music Technology course with  Electronic Music, Digital Recording, Ethnomusicology and Irish Traditional music as its strengths.",Books; Journals; CDs; Listening facilities.,Collection. Library.,"Members of the public have reference access to printed material. Due to licensing restrictions, access to online resources is not available. Some computers with internet access are available for public use on production of photo ID and completion of Guest Login form.",Active,Donation;Purchase,Regular,,,,,,,,,0,0,http://dkitlibs.dkit.ie/,,72,12,776,-1,8/30/2010,http://www.rascal.ac.uk/index.php?CollectionID=354,rascal,0,,1267,,439,,,,177
355,John McCormack Collection,,,The McCormack collection consists of printed music scores in fine bindings. It includes the complete works of Bach and Handel. It also contains many late 19th century compilations of Irish melodies. This material was bequeathed to UCD in 1945.,Irish melodies from 19th century.,"200 items approximately, including complete editions of Bach and Handel.",Collection. Library.,"Printed material in UCD Library Special Collections is made available to staff and students of UCD, ALCID card holders and to eligible external readers, in the reading room during regular opening hours.",Closed,Donation,Closed,,,,,,,,,0,0,Catalogue of McCormack collection available on UCD's Online Public Access Catalogue at http://www.ucd.ie/library/. See also http://www.ucd.ie/library/special_collections/printed_collection/named/mccormack.html,,55,3,777,-1,8/30/2010,http://www.rascal.ac.uk/index.php?CollectionID=355,rascal,0,,967,,440,,,,"181,177"
356,"Traditional Music Collection, Hillery Public Library, Miltown Malbay, Co. Clare",,,Traditional Irish Music Collection,Particular emphasis on the traditional music of County Clare.,750+ items – on cassette tape and CD.,Collection. Library. Sound. Special.,All material available for reference to Music Pal card holders – some material available for borrowing. Listening post available.,Active,Donation;Purchase,Regular,To collect material by Clare musicians or relevant to County Clare.,,,,,,,,0,0,Online catalogue access www.clarelibrary.ie,,74,22,778,-1,8/30/2010,http://www.rascal.ac.uk/index.php?CollectionID=356,rascal,0,,7,,441,,,,"181,177"
357,Belfast Special Constables Papers.,D/46,,"Two volumes containing the reports of the Special Constables appointed in 1812 to patrol the streets of Belfast at night. The earlier volume, which is dealt with by George Benn in his 'History of Belfast' (pp. 504-6), covers the period 12 May to 27 November 1812, and 19 February to 15 May 1816; the later volume 16 May to 8 July 1816. Owing to the inability of the Watch to maintain order on the streets at night, a voluntary police force, the maximum strength of which was about 350 men, was established in 1812. The duties and conditions of this force are described along with the areas policed and refreshments provided. There are descriptions of malfeasances, and lists of the active members occur from time to time in both volumes. The catalogue of the papers contains an alphabetical names index for all the constables stating the page number(s) on which a particular officer is referred to.",These provide an interesting insight into social and economic conditions and the prevalence of crime in Belfast at the beginning of the nineteenth century before the formation of a regular police force.,"Two volumes, May, 1812-July, 1816",Collection.Archive.Text,"The collection is stored in secure, closed accomodation and can be requested for on-site using an in-house document ordering system. Access is supervised and for research and/or research purposes only.",Closed,Loan,Closed,,,,,,,,,1812,1816,See PRONI reference D/46 for catalogue of the papers. The catalogue is available for consultation in PRONI's Public Search Room.,Archive Collection,24,36,1,-1,8/30/2010,http://www.rascal.ac.uk/index.php?CollectionID=357,rascal,0,,175,,1,,,,177
358,Armachiana,,"The collection deals with all aspects of life in County Armagh including such things as dialect in the Fews, railways, parish histories, architectural heritage and family histories. A general listing of the contents is given in ""Harvest Home: the last sheaf"" edited by E.E. Evans (1975).","Armachiana (also known as Armagh Miscellanea) is a collection of 24 bound volumes which comprise some of the typed notes and lectures of Mr TGF Paterson, the first Curator of Armagh County Museum. The collection deals with all aspects of life in County Armagh including such things as dialect in the Fews, railways, parish histories, architectural heritage and family histories. A general listing of the contents is given in ""Harvest Home: the last sheaf"" edited by E.E. Evans (1975).","This is a particularly good introduction to many aspects of life in County Armagh dealing with folklife, local families, towns of Armagh, fairs and markets.",24 volumes,Collection.Museum.Text.Special,"The material in this collection is for reference only. For the visitor interested in research, the collections can be examined by prior arrangement, as can the extensive reference library, photographic and map collections.",Closed,Donation;,Closed,,,,,,,,,1928,1962,"Each volume is indexed. The index is reproduced in ""Harvest Home: the last sheaf,"" ed. E.E. Evans (1975).",Archive Collection,1,37,3,-1,10/23/2014,http://www.rascal.ac.uk/index.php?CollectionID=358,rascal,-1,0,,1,2,"9,3","1,3",289,177
359,Blacker Day Books Collection,5.1948- 17.1948,"This collection consists of the original volumes of the writings of Col. William Blacker and Stewart Blacker of Carrickblacker, Armagh. Many subjects are covered including school and university life, events of 1798, militia affairs and travel. It includes poems, drawings and scrapbooks kept by Stewart Blacker and poetry, biblical extracts and an eye witness account of the Battle of the Diamond in 1798.","This collection consists of the original volumes of the writings of Col. William Blacker and Stewart Blacker of Carrickblacker, Armagh. Many subjects are covered including school and university life, events of 1798, militia affairs and travel. It includes poems, drawings and scrapbooks kept by Stewart Blacker and poetry, biblical extracts and an eye witness account of the Battle of the Diamond in 1798. This was documented in 1932 by William Blacker along with sermons and other thoughts. The collection includes the ""Proceedings of the Loyal Luther Orange Lodge No 1483"", 1832-9, Master Stewart Blacker (accession number 16.1948) and the Letter Book of Stewart Blacker from HM Sloop ""Chanticaleer"", 1813-1814. These volumes are accessioned in the Museum's collections under the numbers 5.1948- 17.1948. These should be quoted in all correspondence.","The strength of this collection lies in the variety of material collected and written by William Blacker and Stewart Blacker of Carrickblacker, Portadown, County Armagh. It comprises scrapbooks, daybooks and manuscript volumes with autobiographical details and essays.",This collection comprises a total of 21 volumes,Collection.Museum.Text.Special,"The material in this collection is for reference only. For the visitor interested in research, the collections can be examined by prior arrangement, as can the extensive reference library, photographic and map collections.",Closed,Donation,Closed,,,,,tbc,tbc,tbc,tbc,1798,1839,The first set of manuscript volumes in the collection are catalogued under 5.1948. These comprise 7 volumes by William Blacker and he has indexed these volumes in the frontispiece. Apart from this the Museum accession registers give brief descriptions and details.,Archive Collection,1,37,11,-1,1/2/2013,http://www.rascal.ac.uk/index.php?CollectionID=359,rascal,0,,,1,3,"9,3",3,358,177
360,18th Century Books and Pamphlets,w/,"General collection of 18th century books and pamphlets. The collection relates to a wide variety of subject areas representative of the interests and pre-occupations of writers of this period and the collecting concerns of QUB library. History, politics, religion, language and literature are all well represented within. One particular collection of note concerns the series of pamphlets maintained by the Irish politician and statesman, John Foster (1740-1828), best known as the last Speaker of the Irish House of Commons","General collection of 18th century books and pamphlets. The collection relates to a wide variety of subject areas representative of the interests and pre-occupations of writers of this period and the collecting concerns of QUB library. History, politics, religion, language and literature are all well represented within. One particular collection of note concerns the series of pamphlets maintained by the Irish politician and statesman, John Foster (1740-1828), best known as the last Speaker of the Irish House of Commons. These pamphlets convey a unique sense of the political life, arguments and events that shaped 18th century Ireland, in particular leading up to the Act of Union between Great Britain and Ireland in 1801. The Collection is also strong in titles by the poet Allan Ramsey (1686-1758) formerly collected by Andrew Gibson (fl. 1904-27) of Belfast, a former Govenor of the Belfast Library and Society for Promoting Knowledge.",The collection is strong for works dating from 18th century. Material concerning subjects and happenings of this period are therefore well represented. The John Foster Pamphlet Collection and Gibson's collection of Allan Ramsey titles are of particular interest.,"Approx 7614 items comprising folios, pamphlets, quartos and volumes. English; Latin; French;",Collection.Library.Text.Special,"The collection is available for reference only under supervised access in the Special Collections Reading Room at The McClay Library. Further information is available here: <a href=""http://www.qub.ac.uk/directorates/InformationServices/TheLibrary/SpecialCollections/"">http://www.qub.ac.uk/specialcollections</a> <br /><br /><a href=""http://www.qub.ac.uk/directorates/InformationServices/TheLibrary/SpecialCollections/VisitingSpecialCollections/"">Visitor access to The McClay Library</a>",Passive,Purchase;,Irregular,,,,,1701,1800,1701,,1701,1801,"Details of the Early Printed Book Collection can be found on the QUB on-line catalogue (QCAT), prefixed by lower case ""<strong>w</strong>"". <br /><br />The Library catalogue is available at:  <br /><a href=""http://www.qub.ac.uk/lib"">http://www.qub.ac.uk/lib</a>",,25,39,12,-1,6/13/2016,http://www.rascal.ac.uk/index.php?CollectionID=360,rascal,0,0,,"1,2,3,7",4,1,"1,3,5,7,9,10,11",,"177,46,183"
361,Foster Pamphlet Collection,wDA943 FOST,,"Collection of 18th century pamphlets, magazines and reports etc compiled by John Foster, Baron Oriel (1740-1828), last Speaker of the Irish House of Commons. An important and unique assemblage of materials, the collection was compiled by Foster during his years of high political office in both the Irish and British Houses of Parliaments. The main focus of the collection concerns the major political pre-occupations of the day, including Parliamentary Reform, Catholic Relief, trade and manufacture, the Act of Union and the state of the Irish nation. Economic affairs is, however, a particular strength of the collection reflecting Foster's own political priorities and interests (he saw economic prosperity as a cure for Irish discontent) with material on the relief of the poor, banking and coinage, agriculture and industry, taxation and tithes all well represented. In addition to political affairs in Ireland, commentary is also provided on the debates concerning the progress of the American War of Independence, the French Revolution and British politics in general. Social matters are also touched on with examples of 18th century poetry, satire and drama to be found throughout the collection. Primarily published in English and from printing houses across the British Isles, the pamphlets are bound into volumes and classified under such general headings as 'Politics,' 'Agriculture,' 'American States,' 'Sermons' 'Tythes and Popery,' 'Regency 1789' etc etc, as originally arranged by Foster during his lifetime.","The Foster Pamphlet Collection is important as it provides a comprehensive representation of the pamphleteering activity prevalent during the 18th century and for its reflection of the major political and economic preoccupations of the day at both local (Irish) and national (Westminster) parliamentary levels. Particular subject strengths include economic development, Irish and British politics, the American War of Independence, Catholic Relief and the Act of Union between Great Britain and Ireland.","2,200 pamphlets bound in 227 volumes. Each volume can contain between 5 and 35 items.",Collection.Library.Text.Special,"The collection is available for reference only under supervised access in the Special Collections Reading Room at The McClay Library. Further information is available here: <a href=""https://www.qub.ac.uk/directorates/InformationServices/TheLibrary/SpecialCollections/"">http://www.qub.ac.uk/specialcollections</a> <br /> <br /><a href=""http://www.qub.ac.uk/directorates/InformationServices/TheLibrary/SpecialCollections/VisitingSpecialCollections/"">Visitor access to The McClay Library</a>",Closed,Purchase;,Closed,,,,,,,,,1686,1814,"Details of the Foster Collection can be found on the QUB on-line catalogue (QCAT) under the prefix w/. The catalogue is available at: <a href=""https://www.qub.ac.uk/directorates/InformationServices/TheLibrary/SpecialCollections/"">http://www.qub.ac.uk/lib</a>",,25,39,17,-1,6/13/2016,http://www.rascal.ac.uk/index.php?CollectionID=361,rascal,0,0,"696,740,898,1108,1385,1537,1636,1687","1,2,3,7",5,1,3,,177
362,Foster/Massereene Papers ,"D/207, D/562, D/1739, D/2681, D/3711, D/4084,",,"The Foster/Massereene papers comprise over 26,000 documents and volumes, 1590-1935, deriving from the Clotworthy and Skeffington families, Viscounts Massereene, and the Foster family, Viscounts Ferrard of Collon, Co. Louth. The papers relate to the family estates, mainly in Counties Antrim and Louth; to the lives and political careers of individual family members, most notably John (Speaker) Foster (1740-1828), MP for Co. Louth 1768-1821. Prominent in both Irish and national politics, he was Chancellor of the Irish Exchequer 1884-85, Speaker of the House of Commons, 1785-1800, Chancellor of the Irish Exchequer at Westminster 1804-6 and 1807-11, among other offices. His papers touch on politics, trade and revenue, customs and excise, agriculture, free trade, commercial credit, transport; of particular importance are the papers relating to the Irish linen industry. <br><br>The archive includes all the Massereene family papers and correspondence from 1590 to 1935 comprising a wealth of information on social mores, family life, financial details and management of the Massereene estates in Antrim (including the Antrim Castle Gardens), Monaghan, Kerry, Dublin and Derbyshire; deeds and estate papers for the Foster and Massereene estates; good runs of leases for Antrim town and for the Massereene estate in Co. Fermanagh from the 17th century; account books for the Collon estate, Co. Louth, and for the Massereene estates in Co. Monaghan. Also included are almost all the legal case papers of Anthony Foster (1705-79) as barrister and judge; almost all papers and correspondence of Anthony and John Foster dealing with Louth elections, politics, patronage and local affairs.<br><br>The bulk of the archive relates to the period before 1816; the Massereene element represents a small proportion of it (2,300 items). The archive is divided into 7 sections plus two from different provenances reflecting the date of deposit at the PRONI.","Almost every facet of Irish history is touched upon, particularly in politics, for the period 1750-1810. The Massereene papers are a very fine collection of family correspondence running from the 1690s to 1830.","Approx. 26,000 documents and volumes occupying 162 PRONI boxes.",Collection.Archive.Text.,"The collection is stored in secure, closed accomodation and can be requested for on-site consultation using an in-house document ordering system. Access is supervised and for research and/or reference purposes only.",Closed,Loan,Closed,,,,,,,,,1590,1935,"See PRONI references D/207, D/562, D/1739, D/2681, D/3711, D/4084, T/2519/4, MIC/611 and MIC/618 for individual catalogues of the papers. These catalogues are available for consultation in PRONI's Public Search Room. A more detailed introduction to the collection can be accessed on <a href=""http://www.proni.gov.uk/records/private/fosmass.htm"" target=""new_window"">http://www.proni.gov.uk/records/private/fosmass.htm</a>.",Archive Collection,24,295,19,-1,8/30/2010,http://www.rascal.ac.uk/index.php?CollectionID=362,rascal,0,,654,,275,,,361,177
363,Hibernica Collection,h/,,"The Hibernica Collection, or Henry Collection as it was previously known, is a substantial collection of monographs, periodicals and pamphlets of general Irish interest and/or origin, being strongest in history and literature, and also including works of Scottish Gaelic, Welsh and Breton. Officially established in 1929 with a deposit of 1000 volumes from the personal library of R.M. Henry (Professor of Latin at Queen's, 1908-38), the collection now represents the largest single subject division held in Special Collections containing in excess of 35,500 volumes and pamphlets dating from the mid 19th century to the present day. Principal strengths of the Hibernica collection include the T.F. O'Rahilly library collection of literature in Irish and Celtic philology, and the Simms Collection of Foreign Books relating to Ireland and by Irish persons printed abroad (pre-1701). The collection also includes comprehensive series of major Irish periodicals and journals such as Irish Historical Studies, Irish Ecclesiastical Record and the James Joyce Quarterly. All major subjects relating to Ireland and Northern Ireland are covered including, in particular, history, politics, literature, philology, economics, society and culture","The Hibernica Collection is a particularly strong source of material for the study of Irish (and English) history, politics, and economics, mainly for the period, 1749-1814. Other areas of strength include Anglo-Irish literature, and subjects relating to the historical, political and cultural development of Northern Ireland.","The Hibernica Collection is essentially a bibliographical assemblage of monographs (hardback and paperback), periodicals and pamphlets consisting of approx. 29,000 volumes (plus pamphlets), dating principally from the 18th century to the present day. A small number of CDs, CD-Rs and videos can also be found.",Collection.Library.Text.Special,"The collection is available for reference only under supervised access in the Special Collections Reading Room at The McClay Library. Further information is available here: <a href=""http://www.qub.ac.uk/directorates/InformationServices/TheLibrary/SpecialCollections/"">http://www.qub.ac.uk/specialcollections</a> <br /> <br /><a href=""http://www.qub.ac.uk/directorates/InformationServices/TheLibrary/SpecialCollections/VisitingSpecialCollections/"">Visitor access to The McClay Library</a>",Active,Purchase;,Regular,,,,,1801,,1845,,1801,,"Titles in this collection can be found on the Library catalogue (QCAT) available at: <a href=""http://www.qub.ac.uk/directorates/InformationServices/TheLibrary/"">http://www.qub.ac.uk/directorates/InformationServices/TheLibrary/</a>",,25,39,21,-1,6/13/2016,http://www.rascal.ac.uk/index.php?CollectionID=363,rascal,0,0,"1717,1909,1954",1,4,"4,1,10,9,2","1,2,3,4,5,6,7,8,9,10,11,12",365,"175,177,46,55,181,182,134,169"
364,Simms Collection (Irish),y/,,"Significant collection of early monographs, pamphlets, bound letters etc pertaining to Ireland by foreign authors and/or by Irishmen printed abroad. Dating mainly from before 1701, the Simms collection contains many rare and important items that have been gathered together by a local book collector of some repute reflecting a particular interest in Irish affairs. Prominent among the subjects covered in the collection are items relating to the tumultuous events of 17th century Britain and their particular impact on Ireland. The Flight of the Earls, Plantation, the English Civil War (1642-45), the so-called 'Glorious Revolution' of 1689 and the Seige of Derry (1690) are all well represented. Other subjects befitting the age to which the collection as a whole relates extends to matters of religious debate and history, with items commentlng on the lives of the Irish Saints, theology and philosophy etc to be found throughout. The collection also contains a number of examples of incunabula with the earliest number dating from c. 1490 and being an edition of Richard Fitzralph's (c. 1295-1360, Archbishop of Armagh) Defensorium Curatorum.",17th century Britain and Ireland. English Civil War.,"Approx. 208 volumes - monographs, pamphlets, bound letters etc.",Collection.Library.Text.Special,"The collection is available for reference only under supervised access in the Special Collections Reading Room at The McClay Library. Further information is available here: <a href=""http://www.qub.ac.uk/directorates/InformationServices/TheLibrary/SpecialCollections/"">http://www.qub.ac.uk/specialcollections</a> <br /> <br /><a href=""http://www.qub.ac.uk/directorates/InformationServices/TheLibrary/SpecialCollections/VisitingSpecialCollections/"">Visitor access to The McClay Library</a>",Closed,Purchase;,Closed,,,,,,,,,1490,1701,"Items contained in the Simms Collection can be found catalogued on the QUB on-line catalogue (QCAT) as part of the Early Printed Book Collection (prefix y/). The catalogue is available at: <a href=""http://www.qub.ac.uk/is/TheLibrary/"">http://www.qub.ac.uk/is/TheLibrary/</a>",,25,39,22,-1,6/13/2016,http://www.rascal.ac.uk/index.php?CollectionID=364,rascal,0,0,,1,8,4,3,367,"177,46,74,183"
365,Henry Collection,"MS10, MS27",,"Collection of correspondence, working notes and papers of Robert Mitchell Henry (1873-1950), Professor of Latin at Queen’s University Belfast (1907-38) and later Professor of Humanities at the University of St. Andrews, Edinburgh (1939-47) and honorary chair of Classical Literature at Trinity College, Dublin (1947-50). Broad in its scope, the collection consists of a variety of material reflecting Henry’s wide range of academic, adminstrative and personal interests. Included are papers and notes on various classical Latin and Greek subjects, the American poet and journalist, Walt Whitman (1819-92), and the study of Irish History. There is also a series of letters, c 1855-1941, addressed to Henry from a variety of correspondents, but principally Sir Samuel Dill (1844-1924), Ramsey Kier and Denis O’Keefe, a set of 14 pocket diaries kept by Henry from 1910-45 and a group of in-letters and miscellaneous papers from the Registrar’s Office of Queen's University, 1877-79. The collection also consists of papers relating to Henry’s involvement with the Workers Educational Association, the Classical Association of Ireland and the Royal Belfast Academical Institution. Maps and plans of Queen’s, 1854-1945 are also to be found in the collection, as are a series of original drawings of maps and diagrams used in Moody and Beckett’s official history of the university (‘Queen's, Belfast 1845-1949: the history of a university,’ T.W. Moody and J.C. Beckett, 1959).","The collection is significant for reflecting the interests and work of Professor Henry, in particular providing a commentary on the adminstration of the University during the early 20th century.","The collection comprises of approx. 160 items, including some 73 letters, (1855-1941), 14 pocket diaries (1910-45), 4 volumes, 8 notebooks and various individual documents of notes, 3 monographs, a small selection of maps, plans and drawings (c 1854-c1945) etc.",Collection.Library.Text.Special,"The collection is available for reference only under supervised access in the Special Collections Reading Room at The McClay Library. Further information is available here: <a href=""http://www.qub.ac.uk/directorates/InformationServices/TheLibrary/SpecialCollections/"">http://www.qub.ac.uk/specialcollections</a><br /> <br /><a href=""http://www.qub.ac.uk/directorates/InformationServices/TheLibrary/SpecialCollections/VisitingSpecialCollections/"">Visitor access to The McClay Library</a>",Closed,Donation;,Closed,Gift,,,,,,,,1854,1978,"<strong>Listings MS10 and MS27 are being revised and amalgamated. Please contact <a href=""mailto:specialcollections@qub.ac.uk"">Special Collections</a> if you wish to consult them.</strong><br /><br /><a href=""http://www.qub.ac.uk/directorates/InformationServices/TheLibrary/SpecialCollections/Manuscripts/"">Manuscripts webpage</a>",Archive Collection,25,42,23,-1,6/13/2016,http://www.rascal.ac.uk/index.php?CollectionID=365,rascal,0,0,"1898,1930","1,2",7,8,"3,5",363,177
